ID,0,TIME0,1,TIME1,2,TIME2,3,TIME3,4,TIME4,5,TIME5,6,TIME6,7,TIME7,8,TIME8,9,TIME9,10,TIME10,11,TIME11,12,TIME12
B0342001,v,,,,,,,,,,,,v,,v,,,,,,,,,,,
B0342013,v,,,,,,,,,,,,,,v,,v,,v,,,,,,,
B0342204,v,,,,,,v,,v,,v,,v,,v,,,,v,,,,,,,
B0442002,v,,v,,,,v,,,,v,,v,,v,,v,,v,,,,,,,
B0442005,v,,v,,v,,v,,,,v,,v,,v,,v,,v,,,,,,,
B0442006,v,,v,,v,,v,,,,v,,v,,v,,v,,v,,,,,,,
B0442034,v,,v,,v,,v,,v,,v,,v,,v,,v,,v,,,,,,,
B0642001,v,,v,,v,,v,,,,v,,v,,,,v,,v,,,,,,,
B0642002,v,,v,,v,,v,,,,v,,,,v,,v,,v,,,,,,,
B0642003,v,,v,,v,,v,,v,,v,,,,v,,v,,v,,,,,,,
B0642004,v,,v,,v,,v,,,,,,,,v,,,,v,,,,,,,
B0642005,v,2020/11/5 11:20,v,,v,,v,,v,,,,v,,v,,v,,,,,,,,,
B0642006,v,,v,,v,,v,,,,,,,,v,,,,v,,,,,,,
B0642007,v,,v,,v,,v,,v,,v,,v,,v,,v,,v,,,,,,,
B0642008,v,,v,,v,,v,,v,,,,v,,v,,v,,,,,,,,,
B0642009,v,,v,,v,,v,,,,v,,,,v,,v,,v,,,,,,,
B0642010,v,,v,,v,,v,,v,,v,,v,,v,,v,,v,,,,,,,
B0642011,v,,v,,v,,v,,,,v,,v,,v,,v,,v,,,,,,,
B0642012,v,,v,,v,,v,,v,,v,,v,,v,,v,,v,,,,,,,
B0642013,v,,v,,v,,v,,,,v,,v,,,,,,,,,,,,,
B0642014,,,v,,v,,v,,,,v,,v,,v,,v,,v,,,,,,,
B0642015,,,v,,v,,v,,v,,v,,v,,,,v,,v,,,,,,,
B0642016,,,,,v,,v,,v,,,,v,,v,,v,,v,,,,,,,
B0642017,v,,,,v,,v,,,,,,,,,,v,,v,,,,,,,
B0642018,,,,,v,,v,,v,,v,,v,,,,v,,v,,,,,,,
B0642019,,,v,,v,,v,,,,,,v,,v,,v,,v,,,,,,,
B0642020,,,,,,,v,,,,v,,v,,,,,,v,,,,,,,
B0642021,,,,,v,,v,,,,v,,,,v,,,,v,,,,,,,
B0642022,v,,,,,,v,,v,,v,,v,,v,,v,,v,,,,,,,
B0642023,,,v,,,,,,,,v,,,,v,,v,,v,,,,,,,
B0642024,,,,,v,,,,,,v,,v,,v,,v,,v,,,,,,,
B0642025,,,,,,,,,,,v,,,,v,,v,,v,,,,,,,
B0642026,,,,,,,,,,,v,,v,,v,,v,,v,,,,,,,
B0642027,,,,,,,,,,,,,v,,v,,v,,v,,,,,,,
B0642028,,,,,,,,,,,,,v,,v,,v,,v,,,,,,,
B0642029,,,,,,,,,,,,,v,,v,,v,,v,,,,,,,
B0642031,,,,,,,,,,,,,,,v,,v,,v,,,,,,,
B0642032,,,,,,,,,,,,,,,v,,v,,v,,,,,,,
B0642033,,,,,,,,,,,,,,,v,,v,,v,,,,,,,
B0642034,,,,,,,,,,,,,,,,,v,,v,,,,,,,
B0642035,,,,,,,,,,,,,,,,,v,,,,,,,,,
B0642036,,,,,,,,,,,,,,,,,,,,,,,,,,
B0642037,,,,,,,,,,,,,,,,,,,,,,,,,,
B0642038,,,,,,,,,,,,,,,,,,,,,,,,,,
B0642039,,,,,,,,,,,,,,,,,,,,,,,,,,
B0642040,,,,,,,,,,,,,,,,,,,,,,,,,,
B0642041,,,,,,,,,,,,,,,,,,,,,,,,,,
B0642042,,,,,,,,,,,,,,,,,,,,,,,,,,
B0642043,,,,,,,,,,,,,,,,,,,,,,,,,,
B0642044,,,,,,,,,,,,,,,,,,,,,,,,,,
